size,case,inter2,sign,sensitivity
Large,1,none,FALSE,0.012444444444444444
Large,2,Hg-Ni,TRUE,0.28
Large,2,none,FALSE,0.0125
Large,3,Hg-Ni,TRUE,0.77
Large,3,none,FALSE,0.015909090909090907
Large,4,Hg-Ni,TRUE,0.27
Large,4,none,FALSE,0.014772727272727272
Large,5,Hg-Ni,TRUE,0.76
Large,5,none,FALSE,0.017954545454545456
Large,6,As-Cd,TRUE,0.01
Large,6,none,FALSE,0.012272727272727272
Large,7,As-Cd,TRUE,0.39
Large,7,none,FALSE,0.015
Large,8,As-Cd,TRUE,0
Large,8,none,FALSE,0.013636363636363636
Large,9,As-Cd,TRUE,0.21
Large,9,none,FALSE,0.01681818181818182
Large,10,Co-Ni,TRUE,0
Large,10,none,FALSE,0.012045454545454545
Large,11,Co-Ni,TRUE,0.09
Large,11,none,FALSE,0.015
Large,12,Co-Ni,TRUE,0
Large,12,none,FALSE,0.014090909090909091
Large,13,Co-Ni,TRUE,0.05
Large,13,none,FALSE,0.017272727272727273
Large,14,Hg-Ni,TRUE,0.1
Large,14,Hg-Tl,TRUE,0
Large,14,Ni-Tl,TRUE,0
Large,14,none,FALSE,0.011666666666666667
Large,15,Hg-Ni,TRUE,0.16
Large,15,Hg-Tl,TRUE,0.01
Large,15,Ni-Tl,TRUE,0.02
Large,15,none,FALSE,0.01380952380952381
Large,16,Hg-Ni,TRUE,0.17
Large,16,Hg-Tl,TRUE,0
Large,16,Ni-Tl,TRUE,0
Large,16,none,FALSE,0.014047619047619048
Large,17,Hg-Ni,TRUE,0.14
Large,17,Hg-Tl,TRUE,0.01
Large,17,Ni-Tl,TRUE,0.01
Large,17,none,FALSE,0.015
Small,1,none,FALSE,0.0011111111111111111
Small,2,Hg-Ni,TRUE,0.07
Small,2,none,FALSE,0.0029545454545454545
Small,3,Hg-Ni,TRUE,0.1
Small,3,none,FALSE,0.0020454545454545456
Small,4,Hg-Ni,TRUE,0.03
Small,4,none,FALSE,0.0013636363636363637
Small,5,Hg-Ni,TRUE,0.14
Small,5,none,FALSE,0.003181818181818182
Small,6,As-Cd,TRUE,0
Small,6,none,FALSE,0.003181818181818182
Small,7,As-Cd,TRUE,0.02
Small,7,none,FALSE,0.0020454545454545456
Small,8,As-Cd,TRUE,0
Small,8,none,FALSE,0.001590909090909091
Small,9,As-Cd,TRUE,0
Small,9,none,FALSE,0.0018181818181818182
Small,10,Co-Ni,TRUE,0.01
Small,10,none,FALSE,0.0022727272727272726
Small,11,Co-Ni,TRUE,0.01
Small,11,none,FALSE,9.090909090909091e-4
Small,12,Co-Ni,TRUE,0
Small,12,none,FALSE,0.003409090909090909
Small,13,Co-Ni,TRUE,0.02
Small,13,none,FALSE,0.0029545454545454545
Small,14,Hg-Ni,TRUE,0.01
Small,14,Hg-Tl,TRUE,0
Small,14,Ni-Tl,TRUE,0
Small,14,none,FALSE,0.0014285714285714286
Small,15,Hg-Ni,TRUE,0.04
Small,15,Hg-Tl,TRUE,0
Small,15,Ni-Tl,TRUE,0
Small,15,none,FALSE,0.0011904761904761906
Small,16,Hg-Ni,TRUE,0.01
Small,16,Hg-Tl,TRUE,0
Small,16,Ni-Tl,TRUE,0
Small,16,none,FALSE,0.0019047619047619048
Small,17,Hg-Ni,TRUE,0.01
Small,17,Hg-Tl,TRUE,0.03
Small,17,Ni-Tl,TRUE,0
Small,17,none,FALSE,0.002619047619047619
